Metadata_treatment,Pathway,mean_logit_score,mean_relative_cell_count,mean_average_precision,corrected_p_value,-log10(p-value),hit
UCD-0001812,Others,0.9779592476124797,0.8115532017253011,1.0,0.0027641070585855,2.5584451400053156,True
UCD-0159487,Others,0.9594373501969188,0.816326295343221,0.6805555555555555,0.0489284471184923,1.3104385675748629,True
UCD-0159486,Others,0.9446007552859788,0.904964316628014,0.7458333333333333,0.040347711989503,1.394181087918541,True
UCD-0159268,Others,0.9610885015018698,0.9960657156896622,1.0,0.0027641070585855,2.5584451400053156,True
UCD-0001419,Transmembrane Transporters,0.9917529613532274,0.8965337686277699,0.7236531986531987,0.0417582417582417,1.3792577957042835,True
UCD-0001921,Epigenetics,0.96973675348078,0.8184930530423884,1.0,0.0027641070585855,2.5584451400053156,True
UCD-0159406,Neuronal Signaling,0.9085876235742428,0.911870298130483,0.8898809523809524,0.010298273155416,1.98723559295969,True
UCD-0000841,Neuronal Signaling,0.9120864131180358,0.9448852951147372,0.8958333333333334,0.010298273155416,1.98723559295969,True
UCD-0159442,Epigenetics,0.9097251349105212,1.0181653087831728,0.7683531746031746,0.0259478741154133,1.5858982176908607,True
UCD-0159476,Metabolism,0.0877858396880912,0.8908245977348397,0.6265873015873016,0.0547226053298927,1.2618332341413614,False
UCD-0159484,Epigenetics,0.0733764747558531,1.0091534711518184,0.8301587301587301,0.0125152625152625,1.9025600363686452,False
UCD-0159468,Apoptosis,0.7254765055040252,0.4724457844486683,0.5134259259259258,0.1624708624708624,0.7892245140867148,False
UCD-0159460,Angiogenesis,0.4971101724767224,1.1696653152884449,0.3691942195231669,0.2538628883806549,0.5954007829762935,False
UCD-0159475,Metabolism,,,,,,False
UCD-0159445,Others,0.4422649218533427,0.016,,,,False
UCD-0159515,Epigenetics,0.2402009341234867,0.5084054073294533,0.569047619047619,0.0780735509977387,1.1074960672902194,False
UCD-0159507,Cytoskeletal Signaling,,,,,,False
UCD-0159499,Cell Cycle,,,,,,False
UCD-0159491,Others,,,,,,False
UCD-0159483,Endocrinology & Hormones,0.6616583153816692,1.1266135539430664,0.4667522170811645,0.1661318032999449,0.7795472207963838,False
UCD-0159453,TGF-beta/Smad,0.1526538803318474,0.994444092832442,0.2415865384615384,0.4546268211426582,0.3423449462383081,False
UCD-0159452,Ubiquitin,,,,,,False
UCD-0159467,Ubiquitin,8.587363474179593e-35,0.0047846889952153,,,,False
UCD-0159459,Cytoskeletal Signaling,0.115730971056896,0.9565389954239708,0.6199074074074074,0.0547226053298927,1.2618332341413614,False
UCD-0159500,Epigenetics,0.1114971014860605,0.8199504759772576,0.4602843915343915,0.1747028481722359,0.7577000146770427,False
UCD-0159444,MAPK,0.2405286434093204,1.284090715896602,0.4112193362193362,0.2433448904037139,0.6137777683552145,False
UCD-0159514,Others,0.046115240081593,0.9602461970547564,0.5564213564213565,0.0897892143443745,1.0467758285002375,False
UCD-0159506,NF-κB,0.2848224827994561,0.7579140975137832,0.7822420634920635,0.0216841981547863,1.663856632698532,False
UCD-0159498,PI3K/Akt/mTOR,,,,,,False
UCD-0159490,Ubiquitin,,,,,,False
UCD-0159482,Angiogenesis,,,,,,False
UCD-0159474,DNA Damage,0.7071047643793658,1.0066459887387604,0.5204545454545454,0.1082488939631796,0.9655765323708264,False
UCD-0159466,Cell Cycle,0.7838160160404646,0.7384918331832211,0.5588624338624338,0.0807436291307259,1.0928917345389368,False
UCD-0159458,Others,0.6462563925226518,0.7613172059046268,0.5949735449735449,0.0677517970751053,1.1690791809044627,False
UCD-0159451,Ubiquitin,0.060476359900646,0.1180913242009132,0.1964285714285714,0.3234714003944773,0.490164111285638,False
UCD-0159443,Others,0.8877708811184992,0.8466576810447909,0.8291666666666666,0.0125152625152625,1.9025600363686452,False
UCD-0159492,Cell Cycle,0.1644356913793432,0.9384449424455258,0.6777777777777778,0.0496199835406883,1.3043433841224432,False
UCD-0000253,Neuronal Signaling,0.5946240388937591,0.8598445034002572,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159429,Stem Cells & Wnt,0.995343909338972,0.6582825377140081,0.6076388888888888,0.0677517970751053,1.1690791809044627,False
UCD-0159372,Protein Tyrosine Kinase,0.3692744515747218,0.2785388127853881,,,,False
UCD-0159336,Ubiquitin,,,,,,False
UCD-0159343,GPCR & G Protein,,,,,,False
UCD-0001863,Angiogenesis,0.9838102318424772,0.8028991346331802,0.5004629629629629,0.1228771228771228,0.9105289660399208,False
UCD-0159353,Proteases,0.9382881009770744,0.7494209995633342,0.5996212121212121,0.0677517970751053,1.1690791809044627,False
UCD-0159359,Others,0.8584731066902558,0.9032274853092804,0.600297619047619,0.0677517970751053,1.1690791809044627,False
UCD-0159365,TGF-beta/Smad,0.4976365377659735,0.8459904998946741,0.7232142857142857,0.0417582417582417,1.3792577957042835,False
UCD-0159380,GPCR & G Protein,0.8586081318562958,1.027931759144666,0.7958333333333333,0.0194832194832194,1.7103392770124284,False
UCD-0159508,Epigenetics,0.0030796422187744,0.0053333333333333,,,,False
UCD-0159388,NF-κB,,,,,,False
UCD-0159337,Neuronal Signaling,0.5776538213078914,1.001412702903011,0.39375,0.2466165413533834,0.6079777972554067,False
UCD-0001391,Metabolism,0.8553415739097523,0.9468343197122396,0.6583333333333333,0.0502759043531575,1.298640108656559,False
UCD-0001856,Angiogenesis,0.3079330289733557,1.233266174550982,0.5184523809523809,0.1090038993264799,0.9625579660439308,False
UCD-0159348,Cell Cycle,,,,,,False
UCD-0159354,Metabolism,0.5316557091347441,0.9721254758261764,0.6801587301587301,0.0496199835406883,1.3043433841224432,False
UCD-0159387,Neuronal Signaling,0.9888601510936008,1.003556840129724,0.5594907407407407,0.0807436291307259,1.0928917345389368,False
UCD-0159379,PI3K/Akt/mTOR,0.8754297144543968,0.9334286270085804,0.5553751803751803,0.0951865036372078,1.021424625264752,False
UCD-0159470,MAPK,0.2532297917335183,1.0132613860059076,0.4451388888888889,0.2100876651438449,0.6775994455341782,False
UCD-0159462,GPCR & G Protein,0.1066284791036975,1.2264219393124394,0.5324494949494949,0.1024660957771325,0.9894198112195514,False
UCD-0159455,TGF-beta/Smad,0.1162755305184334,0.9904307307580802,0.56627886002886,0.0780735509977387,1.1074960672902194,False
UCD-0159447,Ubiquitin,0.0245696985817246,0.986317061561231,0.5747113997113997,0.0775671215231654,1.1103223247063967,False
UCD-0159517,Proteases,0.3556983528548707,0.8859351277083105,0.6000945691735166,0.0677517970751053,1.1690791809044627,False
UCD-0159509,Others,0.1105064651677384,0.5567522949495277,0.4379477004477004,0.2190516665654787,0.659453438320374,False
UCD-0159501,Cell Cycle,0.0831581691666162,0.3564801205021873,0.5572180134680135,0.0897892143443745,1.0467758285002375,False
UCD-0159493,Epigenetics,0.2501230845517162,0.6001035487118456,0.55,0.0997861199203481,1.0009298641357447,False
UCD-0159485,Transmembrane Transporters,,,,,,False
UCD-0159477,Metabolism,0.3505181801038599,0.1806461298908906,0.5926346801346801,0.0677517970751053,1.1690791809044627,False
UCD-0159469,Protein Tyrosine Kinase,,,,,,False
UCD-0159461,Angiogenesis,0.0137465545010212,0.0334928229665071,,,,False
UCD-0159454,TGF-beta/Smad,,,,,,False
UCD-0159446,Transmembrane Transporters,,,,,,False
UCD-0159516,Proteases,0.2157215272494935,0.4979494366066144,0.5954365079365079,0.0677517970751053,1.1690791809044627,False
UCD-0159434,Angiogenesis,0.7739503151986251,0.6365562476510445,0.7544642857142857,0.0394811374192817,1.4036103441533103,False
UCD-0159409,Others,0.9694219925740604,0.7108481087701133,0.5829365079365079,0.0731519403106119,1.1357741499895764,False
UCD-0159421,Apoptosis,0.9957429034524,0.5390400032501812,0.9458333333333332,0.0027641070585855,2.5584451400053156,False
UCD-0159368,Angiogenesis,,,,,,False
UCD-0000936,Neuronal Signaling,0.8197004228050055,0.8003798653656887,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001886,Cell Cycle,0.1310034045210222,0.3390756645287494,0.9791666666666666,0.0027641070585855,2.5584451400053156,False
UCD-0159344,Endocrinology & Hormones,0.1515753714886064,0.988451713057792,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159350,Neuronal Signaling,0.8582978862472107,1.1182024272667703,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159355,PI3K/Akt/mTOR,0.2107990195917259,1.1429130695278813,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159361,Others,0.7799901547992171,1.109449202443305,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159375,NF-κB,0.2133249190454664,1.0724480139618882,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159413,NF-κB,0.9645868585284776,0.6086134928180569,0.5314484126984127,0.1047789419882443,0.9797259911809444,False
UCD-0159383,NF-κB,0.0987475838067604,1.1624824120788508,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159333,Transmembrane Transporters,0.3224956414525506,1.1393725875876564,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001616,Metabolism,0.1443003860398355,0.9967789073251798,0.9791666666666666,0.0027641070585855,2.5584451400053156,False
UCD-0159339,Neuronal Signaling,0.2258984666599824,0.6333202520186492,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159345,Neuronal Signaling,0.0575396072987055,0.9733589734483806,0.7756944444444445,0.0259478741154133,1.5858982176908607,False
UCD-0159351,Others,0.1445887024207281,1.0824400266845071,0.6296717171717171,0.0525641025641025,1.279310745970745,False
UCD-0159332,Apoptosis,0.707096083296747,0.8280850804786614,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159331,Transmembrane Transporters,0.6041716288466134,0.8174052072466181,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159326,Neuronal Signaling,0.5118059704721877,0.8563672131364555,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0000972,Neuronal Signaling,0.3452326552222375,0.7586210159714999,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001078,Metabolism,0.998150771582884,0.0134743167345617,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159624,GPCR & G Protein,0.4017343464968235,0.4232646736124715,0.2882055308525896,0.3460136151551465,0.4609068119863709,False
UCD-0159616,GPCR & G Protein,,,,,,False
UCD-0159608,Metabolism,0.0949448061696212,0.6650996150692838,0.3588755199049316,0.2646978021978021,0.5772496646575843,False
UCD-0159601,Protein Tyrosine Kinase,,,,,,False
UCD-0159661,Transmembrane Transporters,0.082913382632695,0.3646683012260114,0.2388970982720982,0.4657707157707157,0.3318278201787167,False
UCD-0159653,Protein Tyrosine Kinase,0.2301094624405381,1.0031495357879472,0.3076326451326451,0.3071928071928071,0.5125889573678831,False
UCD-0159647,GPCR & G Protein,0.1202703804354455,0.84076024472959,0.2441405816405816,0.4536144127980863,0.3433131549545768,False
UCD-0159639,Protein Tyrosine Kinase,0.0971662156207788,0.7965353478163362,0.4497414622414622,0.1947289998137455,0.7105693668095472,False
UCD-0159631,Cell Cycle,0.1357352139288619,1.0123996246807343,0.5359725922225922,0.0997861199203481,1.0009298641357447,False
UCD-0159623,DNA Damage,0.1255203618660779,0.8168911067296436,0.2576215451215451,0.4258618094234532,0.3707313049845587,False
UCD-0159615,Angiogenesis,0.1503390828995218,1.1454545454545455,,,,False
UCD-0001957,Epigenetics,0.4916923283957767,0.5987000447483927,0.4331196581196581,0.2283438632212474,0.6414106556355311,False
UCD-0001790B,Protein Tyrosine Kinase,,,,,,False
UCD-0159362,Stem Cells & Wnt,0.1074691777852134,1.0634158415904598,0.6158267400527462,0.0563186813186813,1.2493475225933015,False
UCD-0159369,Epigenetics,0.7193869358956596,1.1901844259165066,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001861,Angiogenesis,0.3994782126343048,0.535007226099393,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159366,Metabolism,0.3067650037230786,1.0254653745292008,0.3733886483886484,0.2522159774068171,0.5982274051545786,False
UCD-0159371,Apoptosis,0.830916340110495,0.5687393301430047,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159364,Others,0.2375226625340119,0.9208613371733364,0.6746031746031745,0.0496199835406883,1.3043433841224432,False
UCD-0159358,Metabolism,0.3120302506939457,0.9379180591896076,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159352,Proteases,0.4195018291082867,0.566735638557051,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001885,PI3K/Akt/mTOR,0.9301004606072608,0.3378351493410846,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159342,Others,0.2845006186505917,0.8223263196764256,0.9305555555555556,0.0027641070585855,2.5584451400053156,False
UCD-0018448,GPCR & G Protein,0.4272588677130382,0.8374216826768619,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159335,JAK/STAT,0.7371280798900858,0.1274459398155148,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159386,DNA Damage,0.207756166971036,0.9702237844191192,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159378,Protein Tyrosine Kinase,0.2244738070748783,0.7198983050933754,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159370,PI3K/Akt/mTOR,0.5563156217563376,0.8948715251206556,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0011696,JAK/STAT,0.299116416015747,0.9266479586173748,0.6649305555555556,0.0502759043531575,1.298640108656559,False
UCD-0159357,Apoptosis,0.8905682263066627,0.0161652786412098,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159347,Metabolism,0.7947990872021455,0.8715896521289308,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159376,Transmembrane Transporters,0.0342805454119404,1.1086639340631477,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159341,Metabolism,0.1452259676928746,0.9243969382824668,0.3557359307359307,0.2646978021978021,0.5772496646575843,False
UCD-0001186,Neuronal Signaling,0.0875336988743265,0.907091708200509,0.6030753968253968,0.0677517970751053,1.1690791809044627,False
UCD-0000684,Others,0.2231856957924329,0.95642951326359,0.6372204184704184,0.0525641025641025,1.279310745970745,False
UCD-0159385,Metabolism,0.1709544463629141,0.8407938940032922,0.6248704998704998,0.0547226053298927,1.2618332341413614,False
UCD-0159377,Metabolism,0.6168237291783326,0.8098206165694446,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0018540,MAPK,0.4476487048868842,1.0051265617513916,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159363,Others,,,,,,False
UCD-0159356,Cytoskeletal Signaling,0.1029720657719452,0.8559263784322382,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001900,PI3K/Akt/mTOR,0.1921581419983801,1.0871040366108793,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159346,Stem Cells & Wnt,0.8558897423896336,1.0691317129406877,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159340,Others,,,,,,False
UCD-0159338,Neuronal Signaling,0.1298324978557497,1.063722358292334,0.5144841269841269,0.1126373626373626,0.9483175269293204,False
UCD-0159334,Metabolism,0.81718253393268,0.4424773460447511,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159384,NF-κB,,,,,,False
UCD-0000201,GPCR & G Protein,0.3112509121541552,0.6892063416036018,0.4674603174603174,0.1661318032999449,0.7795472207963838,False
UCD-0001864,Angiogenesis,0.1057810567027074,0.0100755667506297,,,,False
UCD-0159373,Angiogenesis,0.2468651731016476,0.331562771734781,0.5095238095238095,0.1176594106530412,0.9293733312908564,False
UCD-0159478,Cell Cycle,0.9488829161262836,0.5638510671036133,0.5578703703703703,0.1565934065934066,0.8052265279765646,False
UCD-0159449,Ubiquitin,0.7567513384716827,0.6645188559312732,0.4763979076479076,0.155694458446752,0.8077268447782245,False
UCD-0159519,Stem Cells & Wnt,0.0924146473429188,0.0441806922832645,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159511,Autophagy,0.696184158663806,0.8495461227151326,0.3989357864357864,0.2466165413533834,0.6079777972554067,False
UCD-0159503,Cytoskeletal Signaling,0.7328263309942077,0.6755749124118284,0.5402777777777777,0.0997861199203481,1.0009298641357447,False
UCD-0159495,Apoptosis,0.7851964936049428,0.6071033425967385,0.6898989898989898,0.0489284471184923,1.3104385675748629,False
UCD-0159479,Transmembrane Transporters,0.7824579668009641,0.7496404295264902,0.7090277777777777,0.0448414145096609,1.3483206961651315,False
UCD-0159471,Proteases,0.7559995229342313,0.9754479634606494,0.7013888888888888,0.0448414145096609,1.3483206961651315,False
UCD-0159463,GPCR & G Protein,,,,,,False
UCD-0159456,Apoptosis,0.8001577500686391,0.9733710602453284,0.6833333333333332,0.0489284471184923,1.3104385675748629,False
UCD-0159448,Ubiquitin,,,,,,False
UCD-0159518,Proteases,0.999850919616445,0.5464637196496336,0.7458333333333333,0.040347711989503,1.394181087918541,False
UCD-0159510,Autophagy,0.9996290987429646,0.6920272319772511,0.7458333333333333,0.040347711989503,1.394181087918541,False
UCD-0159502,MAPK,,,,,,False
UCD-0159494,Protein Tyrosine Kinase,,,,,,False
UCD-0000918,Proteases,0.1711680900630381,0.8032050336365395,0.6834415584415584,0.0489284471184923,1.3104385675748629,False
UCD-0159464,Metabolism,0.5300378457594247,1.1914385825023337,0.6201388888888889,0.0547226053298927,1.2618332341413614,False
UCD-0159397,Others,0.2050837895679669,0.7235904551841102,0.4399801587301587,0.2189821351832525,0.6595913139626328,False
UCD-0159441,Metabolism,0.2090019251418315,0.7959814380225703,0.5102362914862915,0.1176594106530412,0.9293733312908564,False
UCD-0001925,Epigenetics,0.5776960040026369,0.5489326148459673,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159428,Apoptosis,0.1437124401386361,0.7218280448111476,0.7134920634920635,0.0448414145096609,1.3483206961651315,False
UCD-0159420,Angiogenesis,0.0151880097011894,0.6222103376460448,0.6073006854256854,0.0677517970751053,1.1690791809044627,False
UCD-0159412,Apoptosis,3.261739866158687e-07,0.0048472075869336,0.2954545454545454,0.2258919163028752,0.6460993103274033,False
UCD-0001098,Neuronal Signaling,0.1609263281689471,0.9500420131234888,0.5814574314574315,0.0731519403106119,1.1357741499895764,False
UCD-0159664,Epigenetics,0.1868204396922776,0.9358576293743522,0.4025974025974025,0.2466165413533834,0.6079777972554067,False
UCD-0159405,Metabolism,0.1950792756188837,0.915507436681944,0.1893442205942206,0.6608058608058608,0.1799261138348331,False
UCD-0159401,Angiogenesis,0.1765220483603227,0.9931039634801144,0.7638888888888888,0.0194832194832194,1.7103392770124284,False
UCD-0159396,DNA Damage,0.4663345887968183,0.9965748682522502,0.8982142857142857,0.010298273155416,1.98723559295969,False
UCD-0159440,Protein Tyrosine Kinase,,,,,,False
UCD-0001966,Others,,,,,,False
UCD-0159427,Apoptosis,,,,,,False
UCD-0001927,Epigenetics,0.967565070822416,0.9018493186901436,0.6602272727272727,0.0502759043531575,1.298640108656559,False
UCD-0159472,TGF-beta/Smad,0.2527974770117688,0.6883360009940249,0.9097222222222222,0.010298273155416,1.98723559295969,False
UCD-0018183,Proteases,0.1993284698511397,0.9920321194399632,0.4518849206349206,0.1868756243756243,0.728447343295052,False
UCD-0159522,Proteases,0.3004574739023935,0.7356603498826765,0.7652777777777778,0.0303478904515174,1.5178714923022951,False
UCD-0159553,PI3K/Akt/mTOR,0.3032113659611647,0.1615576580286638,0.7343253968253969,0.040347711989503,1.394181087918541,False
UCD-0159546,Ubiquitin,0.2349187798815774,1.0300586865683825,0.7775974025974026,0.0259478741154133,1.5858982176908607,False
UCD-0159538,MAPK,0.0859138950255536,0.5136505699997693,0.9583333333333334,0.0027641070585855,2.5584451400053156,False
UCD-0159530,Proteases,0.1401155173061275,0.8394122018467577,0.5431394993894993,0.0997861199203481,1.0009298641357447,False
UCD-0159523,Proteases,0.2007547536520756,0.7408832128019696,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159591,Epigenetics,0.0802360709306444,1.0448494458110342,0.5343434343434343,0.0997861199203481,1.0009298641357447,False
UCD-0159584,Cell Cycle,0.2857008523559608,1.08526622468238,0.5692460317460317,0.0780735509977387,1.1074960672902194,False
