UCD ID,Plate,Well,Cell Type,Pathway
UCD-0159411,Plate_6,C11,failing,Neuronal Signaling
UCD-0159417,Plate_6,D02,failing,GPCR & G Protein
UCD-0159425,Plate_6,D03,failing,Apoptosis
UCD-0159433,Plate_6,D04,failing,Protein Tyrosine Kinase
UCD-0159438,Plate_6,D05,failing,Cytoskeletal Signaling
UCD-0159394,Plate_6,D06,failing,TGF-beta/Smad
UCD-0018410,Plate_6,D07,failing,Metabolism
UCD-0001653,Plate_6,D08,failing,Transmembrane Transporters
UCD-0000377,Plate_6,D09,failing,Transmembrane Transporters
UCD-0001002,Plate_6,D10,failing,Neuronal Signaling
UCD-0001657,Plate_6,D11,failing,GPCR & G Protein
DMSO,Plate_6,E02,failing,
UCD-0159418,Plate_6,E03,failing,Transmembrane Transporters
UCD-0159426,Plate_6,E04,failing,DNA Damage
DMSO,Plate_6,E05,failing,
UCD-0001924,Plate_6,E06,failing,Epigenetics
UCD-0159439,Plate_6,E07,failing,PI3K/Akt/mTOR
DMSO,Plate_6,E08,failing,
UCD-0159395,Plate_6,E09,failing,GPCR & G Protein
UCD-0018456,Plate_6,E10,failing,GPCR & G Protein
DMSO,Plate_6,E11,failing,
UCD-0159404,Plate_6,F02,failing,Metabolism
UCD-0011098,Plate_6,F03,failing,Neuronal Signaling
UCD-0011250,Plate_6,F04,failing,Endocrinology & Hormones
UCD-0018183,Plate_6,F05,failing,Proteases
UCD-0159419,Plate_6,F06,failing,Protein Tyrosine Kinase
UCD-0159427,Plate_6,F07,failing,Apoptosis
UCD-0001966,Plate_6,F08,failing,Others
UCD-0159440,Plate_6,F09,failing,Protein Tyrosine Kinase
UCD-0159396,Plate_6,F10,failing,DNA Damage
UCD-0159401,Plate_6,F11,failing,Angiogenesis
UCD-0159405,Plate_6,G02,failing,Metabolism
UCD-0159664,Plate_6,G03,failing,Epigenetics
UCD-0001098,Plate_6,G04,failing,Neuronal Signaling
UCD-0159412,Plate_6,G05,failing,Apoptosis
UCD-0159420,Plate_6,G06,failing,Angiogenesis
UCD-0159428,Plate_6,G07,failing,Apoptosis
UCD-0001925,Plate_6,G08,failing,Epigenetics
UCD-0159441,Plate_6,G09,failing,Metabolism
UCD-0159397,Plate_6,G10,failing,Others
UCD-0000918,Plate_6,G11,failing,Proteases
DMSO,Plate_7,B02,healthy,
UCD-0159406,Plate_7,B03,failing,Neuronal Signaling
UCD-0000841,Plate_7,B04,failing,Neuronal Signaling
DMSO,Plate_7,B05,healthy,
UCD-0159409,Plate_7,B06,failing,Others
UCD-0159413,Plate_7,B07,failing,NF-?B
DMSO,Plate_7,B08,healthy,
UCD-0159421,Plate_7,B09,failing,Apoptosis
UCD-0159429,Plate_7,B10,failing,Stem Cells &  Wnt
DMSO,Plate_7,B11,healthy,
UCD-0159434,Plate_7,C02,failing,Angiogenesis
UCD-0159442,Plate_7,C03,failing,Epigenetics
UCD-0159443,Plate_7,C04,failing,Others
UCD-0159451,Plate_7,C05,failing,Ubiquitin
UCD-0159458,Plate_7,C06,failing,Others
UCD-0159466,Plate_7,C07,failing,Cell Cycle
UCD-0159474,Plate_7,C08,failing,DNA Damage
UCD-0159482,Plate_7,C09,failing,Angiogenesis
UCD-0159490,Plate_7,C10,failing,Ubiquitin
UCD-0159498,Plate_7,C11,failing,PI3K/Akt/mTOR
UCD-0159506,Plate_7,D02,failing,NF-?B
UCD-0159514,Plate_7,D03,failing,Others
UCD-0159444,Plate_7,D04,failing,MAPK
UCD-0159452,Plate_7,D05,failing,Ubiquitin
UCD-0159459,Plate_7,D06,failing,Cytoskeletal Signaling
UCD-0159467,Plate_7,D07,failing,Ubiquitin
UCD-0159475,Plate_7,D08,failing,Metabolism
UCD-0159483,Plate_7,D09,failing,Endocrinology & Hormones
UCD-0159491,Plate_7,D10,failing,Others
UCD-0159499,Plate_7,D11,failing,Cell Cycle
DMSO,Plate_7,E02,failing,
UCD-0159507,Plate_7,E03,failing,Cytoskeletal Signaling
UCD-0159515,Plate_7,E04,failing,Epigenetics
DMSO,Plate_7,E05,failing,
UCD-0159445,Plate_7,E06,failing,Others
UCD-0159453,Plate_7,E07,failing,TGF-beta/Smad
DMSO,Plate_7,E08,failing,
UCD-0159460,Plate_7,E09,failing,Angiogenesis
UCD-0159468,Plate_7,E10,failing,Apoptosis
DMSO,Plate_7,E11,failing,
UCD-0159476,Plate_7,F02,failing,Metabolism
UCD-0159484,Plate_7,F03,failing,Epigenetics
UCD-0159492,Plate_7,F04,failing,Cell Cycle
UCD-0159500,Plate_7,F05,failing,Epigenetics
UCD-0159508,Plate_7,F06,failing,Epigenetics
UCD-0159516,Plate_7,F07,failing,Proteases
UCD-0159446,Plate_7,F08,failing,Transmembrane Transporters
UCD-0159454,Plate_7,F09,failing,TGF-beta/Smad
UCD-0159461,Plate_7,F10,failing,Angiogenesis
UCD-0159469,Plate_7,F11,failing,Protein Tyrosine Kinase
UCD-0159477,Plate_7,G02,failing,Metabolism
UCD-0159485,Plate_7,G03,failing,Transmembrane Transporters
UCD-0159493,Plate_7,G04,failing,Epigenetics
UCD-0159501,Plate_7,G05,failing,Cell Cycle
UCD-0159509,Plate_7,G06,failing,Others
UCD-0159517,Plate_7,G07,failing,Proteases
UCD-0159447,Plate_7,G08,failing,Ubiquitin
UCD-0159455,Plate_7,G09,failing,TGF-beta/Smad
UCD-0159462,Plate_7,G10,failing,GPCR & G Protein
UCD-0159470,Plate_7,G11,failing,MAPK
DMSO,Plate_8,B02,healthy,
UCD-0159478,Plate_8,B03,failing,Cell Cycle
UCD-0159486,Plate_8,B04,failing,Others
DMSO,Plate_8,B05,healthy,
UCD-0159494,Plate_8,B06,failing,Protein Tyrosine Kinase
UCD-0159502,Plate_8,B07,failing,MAPK
DMSO,Plate_8,B08,healthy,
UCD-0159510,Plate_8,B09,failing,Autophagy
UCD-0159518,Plate_8,B10,failing,Proteases
DMSO,Plate_8,B11,healthy,
UCD-0159448,Plate_8,C02,failing,Ubiquitin
UCD-0159456,Plate_8,C03,failing,Apoptosis
UCD-0159463,Plate_8,C04,failing,GPCR & G Protein
UCD-0159471,Plate_8,C05,failing,Proteases
UCD-0159479,Plate_8,C06,failing,Transmembrane Transporters
UCD-0159487,Plate_8,C07,failing,Others
UCD-0159495,Plate_8,C08,failing,Apoptosis
UCD-0159503,Plate_8,C09,failing,Cytoskeletal Signaling
UCD-0159511,Plate_8,C10,failing,Autophagy
UCD-0159519,Plate_8,C11,failing,Stem Cells &  Wnt
UCD-0159449,Plate_8,D02,failing,Ubiquitin
UCD-0001927,Plate_8,D03,failing,Epigenetics
UCD-0159464,Plate_8,D04,failing,Metabolism
UCD-0159472,Plate_8,D05,failing,TGF-beta/Smad
UCD-0159480,Plate_8,D06,failing,Transmembrane Transporters
UCD-0159488,Plate_8,D07,failing,Epigenetics
UCD-0159496,Plate_8,D08,failing,Others
UCD-0159504,Plate_8,D09,failing,Others
UCD-0159512,Plate_8,D10,failing,Others
UCD-0159520,Plate_8,D11,failing,NF-?B
DMSO,Plate_8,E02,failing,
UCD-0159450,Plate_8,E03,failing,DNA Damage
UCD-0159457,Plate_8,E04,failing,Proteases
DMSO,Plate_8,E05,failing,
UCD-0159465,Plate_8,E06,failing,Metabolism
UCD-0159473,Plate_8,E07,failing,Epigenetics
DMSO,Plate_8,E08,failing,
UCD-0159481,Plate_8,E09,failing,Cell Cycle
UCD-0159489,Plate_8,E10,failing,Epigenetics
DMSO,Plate_8,E11,failing,
UCD-0159497,Plate_8,F02,failing,PI3K/Akt/mTOR
UCD-0159505,Plate_8,F03,failing,Others
UCD-0159513,Plate_8,F04,failing,Others
UCD-0159521,Plate_8,F05,failing,Others
UCD-0159522,Plate_8,F06,failing,Proteases
UCD-0159529,Plate_8,F07,failing,Cell Cycle
UCD-0159537,Plate_8,F08,failing,Others
UCD-0159545,Plate_8,F09,failing,Autophagy
UCD-0159552,Plate_8,F10,failing,Protein Tyrosine Kinase
UCD-0159560,Plate_8,F11,failing,DNA Damage
UCD-0159568,Plate_8,G02,failing,Others
UCD-0159576,Plate_8,G03,failing,Others
UCD-0159584,Plate_8,G04,failing,Cell Cycle
UCD-0159591,Plate_8,G05,failing,Epigenetics
UCD-0159523,Plate_8,G06,failing,Proteases
UCD-0159530,Plate_8,G07,failing,Proteases
UCD-0159538,Plate_8,G08,failing,MAPK
UCD-0159546,Plate_8,G09,failing,Ubiquitin
UCD-0159553,Plate_8,G10,failing,PI3K/Akt/mTOR
UCD-0159561,Plate_8,G11,failing,JAK/STAT
DMSO,Plate_9,B02,healthy,
UCD-0159569,Plate_9,B03,failing,Protein Tyrosine Kinase
UCD-0159577,Plate_9,B04,failing,Cell Cycle
DMSO,Plate_9,B05,healthy,
UCD-0159585,Plate_9,B06,failing,Protein Tyrosine Kinase
UCD-0159592,Plate_9,B07,failing,Epigenetics
DMSO,Plate_9,B08,healthy,
UCD-0159524,Plate_9,B09,failing,Others
UCD-0159531,Plate_9,B10,failing,Metabolism
DMSO,Plate_9,B11,healthy,
UCD-0159539,Plate_9,C02,failing,Proteases
UCD-0159547,Plate_9,C03,failing,Apoptosis
UCD-0159554,Plate_9,C04,failing,Angiogenesis
UCD-0159562,Plate_9,C05,failing,Epigenetics
UCD-0159570,Plate_9,C06,failing,GPCR & G Protein
UCD-0159578,Plate_9,C07,failing,PI3K/Akt/mTOR
UCD-0159586,Plate_9,C08,failing,Angiogenesis
UCD-0159593,Plate_9,C09,failing,Epigenetics
UCD-0159525,Plate_9,C10,failing,Others
UCD-0159532,Plate_9,C11,failing,PI3K/Akt/mTOR
UCD-0159540,Plate_9,D02,failing,Others
UCD-0159548,Plate_9,D03,failing,Others
UCD-0159555,Plate_9,D04,failing,Cytoskeletal Signaling
UCD-0159563,Plate_9,D05,failing,Angiogenesis
UCD-0159571,Plate_9,D06,failing,Others
UCD-0159579,Plate_9,D07,failing,PI3K/Akt/mTOR
UCD-0159587,Plate_9,D08,failing,Angiogenesis
UCD-0159594,Plate_9,D09,failing,Others
UCD-0159526,Plate_9,D10,failing,DNA Damage
UCD-0159533,Plate_9,D11,failing,Cytoskeletal Signaling
DMSO,Plate_9,E02,failing,
UCD-0159541,Plate_9,E03,failing,Protein Tyrosine Kinase
UCD-0159514B,Plate_9,E04,failing,Others
DMSO,Plate_9,E05,failing,
UCD-0159556,Plate_9,E06,failing,GPCR & G Protein
UCD-0159564,Plate_9,E07,failing,Epigenetics
DMSO,Plate_9,E08,failing,
UCD-0159572,Plate_9,E09,failing,Epigenetics
UCD-0159580,Plate_9,E10,failing,NF-?B
DMSO,Plate_9,E11,failing,
UCD-0159588,Plate_9,F02,failing,MAPK
UCD-0159595,Plate_9,F03,failing,Endocrinology & Hormones
UCD-0159527,Plate_9,F04,failing,DNA Damage
UCD-0159534,Plate_9,F05,failing,Others
UCD-0159542,Plate_9,F06,failing,MAPK
UCD-0159549,Plate_9,F07,failing,JAK/STAT
UCD-0159557,Plate_9,F08,failing,Others
UCD-0159565,Plate_9,F09,failing,TGF-beta/Smad
UCD-0159573,Plate_9,F10,failing,Protein Tyrosine Kinase
UCD-0159581,Plate_9,F11,failing,PI3K/Akt/mTOR
UCD-0159589,Plate_9,G02,failing,DNA Damage
UCD-0001944,Plate_9,G03,failing,Epigenetics
UCD-0159665,Plate_9,G04,failing,Others
UCD-0159535,Plate_9,G05,failing,Others
UCD-0159543,Plate_9,G06,failing,MAPK
UCD-0159550,Plate_9,G07,failing,MAPK
UCD-0159558,Plate_9,G08,failing,Cytoskeletal Signaling
UCD-0159566,Plate_9,G09,failing,DNA Damage
UCD-0159574,Plate_9,G10,failing,Epigenetics
UCD-0159582,Plate_9,G11,failing,Neuronal Signaling
DMSO,Plate_10,B02,healthy,
UCD-0159253,Plate_10,B03,failing,Epigenetics
UCD-0159596,Plate_10,B04,failing,Cytoskeletal Signaling
DMSO,Plate_10,B05,healthy,
UCD-0159528,Plate_10,B06,failing,Transmembrane Transporters
UCD-0159536,Plate_10,B07,failing,JAK/STAT
DMSO,Plate_10,B08,healthy,
UCD-0159544,Plate_10,B09,failing,Angiogenesis
UCD-0159551,Plate_10,B10,failing,Epigenetics
DMSO,Plate_10,B11,healthy,
UCD-0159559,Plate_10,C02,failing,DNA Damage
UCD-0159567,Plate_10,C03,failing,Others
UCD-0159575,Plate_10,C04,failing,Autophagy
UCD-0159583,Plate_10,C05,failing,MAPK
UCD-0159590,Plate_10,C06,failing,Others
UCD-0159597,Plate_10,C07,failing,Epigenetics
UCD-0159598,Plate_10,C08,failing,Endocrinology & Hormones
UCD-0159605,Plate_10,C09,failing,PI3K/Akt/mTOR
UCD-0159612,Plate_10,C10,failing,Cell Cycle
UCD-0159620,Plate_10,C11,failing,DNA Damage
UCD-0159628,Plate_10,D02,failing,GPCR & G Protein
UCD-0159636,Plate_10,D03,failing,Protein Tyrosine Kinase
UCD-0159644,Plate_10,D04,failing,Transmembrane Transporters
UCD-0159650,Plate_10,D05,failing,MAPK
UCD-0159658,Plate_10,D06,failing,Autophagy
UCD-0159599,Plate_10,D07,failing,MAPK
UCD-0159606,Plate_10,D08,failing,Autophagy
UCD-0159613,Plate_10,D09,failing,PI3K/Akt/mTOR
UCD-0159621,Plate_10,D10,failing,PI3K/Akt/mTOR
UCD-0159629,Plate_10,D11,failing,Angiogenesis
DMSO,Plate_10,E02,failing,
UCD-0159637,Plate_10,E03,failing,Others
UCD-0159645,Plate_10,E04,failing,Transmembrane Transporters
DMSO,Plate_10,E05,failing,
UCD-0159651,Plate_10,E06,failing,Angiogenesis
UCD-0159659,Plate_10,E07,failing,Metabolism
DMSO,Plate_10,E08,failing,
UCD-0159666,Plate_10,E09,failing,Cytoskeletal Signaling
UCD-0159607,Plate_10,E10,failing,Metabolism
DMSO,Plate_10,E11,failing,
UCD-0159614,Plate_10,F02,failing,Metabolism
UCD-0159622,Plate_10,F03,failing,JAK/STAT
UCD-0159630,Plate_10,F04,failing,Transmembrane Transporters
UCD-0159638,Plate_10,F05,failing,Apoptosis
UCD-0159646,Plate_10,F06,failing,GPCR & G Protein
UCD-0159652,Plate_10,F07,failing,Proteases
UCD-0159660,Plate_10,F08,failing,Epigenetics
UCD-0159600,Plate_10,F09,failing,Epigenetics
UCD-0001957,Plate_10,F10,failing,Epigenetics
UCD-0159615,Plate_10,F11,failing,Angiogenesis
UCD-0159623,Plate_10,G02,failing,DNA Damage
UCD-0159631,Plate_10,G03,failing,Cell Cycle
UCD-0159639,Plate_10,G04,failing,Protein Tyrosine Kinase
UCD-0159647,Plate_10,G05,failing,GPCR & G Protein
UCD-0159653,Plate_10,G06,failing,Protein Tyrosine Kinase
UCD-0159661,Plate_10,G07,failing,Transmembrane Transporters
UCD-0159601,Plate_10,G08,failing,Protein Tyrosine Kinase
UCD-0159608,Plate_10,G09,failing,Metabolism
UCD-0159616,Plate_10,G10,failing,GPCR & G Protein
UCD-0159624,Plate_10,G11,failing,GPCR & G Protein
DMSO,Plate_11,B02,healthy,
UCD-0159632,Plate_11,B03,failing,Angiogenesis
UCD-0159640,Plate_11,B04,failing,Epigenetics
DMSO,Plate_11,B05,healthy,
UCD-0001952,Plate_11,B06,failing,Epigenetics
UCD-0159654,Plate_11,B07,failing,Epigenetics
DMSO,Plate_11,B08,healthy,
UCD-0159662,Plate_11,B09,failing,GPCR & G Protein
UCD-0159602,Plate_11,B10,failing,Angiogenesis
DMSO,Plate_11,B11,healthy,
UCD-0159609,Plate_11,C02,failing,Others
UCD-0159617,Plate_11,C03,failing,Endocrinology & Hormones
UCD-0159625,Plate_11,C04,failing,Endocrinology & Hormones
UCD-0159633,Plate_11,C05,failing,Apoptosis
UCD-0159641,Plate_11,C06,failing,JAK/STAT
UCD-0001953,Plate_11,C07,failing,Epigenetics
UCD-0159655,Plate_11,C08,failing,Epigenetics
UCD-0159663,Plate_11,C09,failing,Protein Tyrosine Kinase
UCD-0159603,Plate_11,C10,failing,GPCR & G Protein
UCD-0159610,Plate_11,C11,failing,Transmembrane Transporters
UCD-0159618,Plate_11,D02,failing,MAPK
UCD-0159626,Plate_11,D03,failing,Neuronal Signaling
UCD-0159634,Plate_11,D04,failing,Cytoskeletal Signaling
UCD-0159642,Plate_11,D05,failing,Proteases
UCD-0159648,Plate_11,D06,failing,GPCR & G Protein
UCD-0159656,Plate_11,D07,failing,GPCR & G Protein
UCD-0159604,Plate_11,D08,failing,Autophagy
UCD-0159611,Plate_11,D09,failing,Others
UCD-0159619,Plate_11,D10,failing,GPCR & G Protein
UCD-0159627,Plate_11,D11,failing,Metabolism
DMSO,Plate_11,E02,failing,
UCD-0159635,Plate_11,E03,failing,MAPK
UCD-0159643,Plate_11,E04,failing,Metabolism
DMSO,Plate_11,E05,failing,
UCD-0159649,Plate_11,E06,failing,Angiogenesis
UCD-0159657,Plate_11,E07,failing,Others
DMSO,Plate_11,E08,failing,
DMSO,Plate_11,E11,failing,
TGFBRi,Plate_11,F02,healthy,
TGFBRi,Plate_11,F05,healthy,
TGFBRi,Plate_11,F08,healthy,
TGFBRi,Plate_11,F11,heathly,
TGFBRi,Plate_11,G02,failing,
TGFBRi,Plate_11,G05,failing,
TGFBRi,Plate_11,G08,failing,
TGFBRi,Plate_11,G11,failing,
